[NEW ABV] Doesn't exist abreviation for 
[NEW ABV] Doesn't exist abreviation for COMDO.(A/S)
[NEW ABV] Doesn't exist abreviation for COMTE.
[NEW ABV] Doesn't exist abreviation for COMTE.(S)
[NEW ABV] Doesn't exist abreviation for CURADOR
[NEW ABV] Doesn't exist abreviation for CURADOR(A/S)(ES)
[NEW ABV] Doesn't exist abreviation for DILIG.
[NEW ABV] Doesn't exist abreviation for DILIG.(S)
[NEW ABV] Doesn't exist abreviation for DNDA.
[NEW ABV] Doesn't exist abreviation for DNDO.
[NEW ABV] Doesn't exist abreviation for DNDO.(A/S)
[NEW ABV] Doesn't exist abreviation for DNTE.
[NEW ABV] Doesn't exist abreviation for DNTE.(S)
[NEW ABV] Doesn't exist abreviation for DO.(A/S)
[NEW ABV] Doesn't exist abreviation for DOS ÍNDIOS (PROCESSOS NºS 00343-2009-063-19-00-0
[NEW ABV] Doesn't exist abreviation for DP
[NEW ABV] Doesn't exist abreviation for DPU
[NEW ABV] Doesn't exist abreviation for EXCDO.
[NEW ABV] Doesn't exist abreviation for EXCDO.(A/S)
[NEW ABV] Doesn't exist abreviation for EXCPTA.
[NEW ABV] Doesn't exist abreviation for EXCPTE.
[NEW ABV] Doesn't exist abreviation for EXCPTE.(S)
[NEW ABV] Doesn't exist abreviation for EXCPTES.
[NEW ABV] Doesn't exist abreviation for EXCPTO.
[NEW ABV] Doesn't exist abreviation for EXCPTO.(A/S)
[NEW ABV] Doesn't exist abreviation for EXCPTOS.
[NEW ABV] Doesn't exist abreviation for EXQTE.
[NEW ABV] Doesn't exist abreviation for EXQTE.(S)
[NEW ABV] Doesn't exist abreviation for EXQTES.
[NEW ABV] Doesn't exist abreviation for EXTDA.
[NEW ABV] Doesn't exist abreviation for EXTDO.
[NEW ABV] Doesn't exist abreviation for EXTDO.(A/S)
[NEW ABV] Doesn't exist abreviation for IMPUGDO.
[NEW ABV] Doesn't exist abreviation for IMPUGDO.(A/S)
[NEW ABV] Doesn't exist abreviation for IMPUGTE.
[NEW ABV] Doesn't exist abreviation for IMPUGTE.(S)
[NEW ABV] Doesn't exist abreviation for INDIC.
[NEW ABV] Doesn't exist abreviation for INDIC.(A/S)
[NEW ABV] Doesn't exist abreviation for INDICDA.
[NEW ABV] Doesn't exist abreviation for INTERPDA
[NEW ABV] Doesn't exist abreviation for INTERPDO
[NEW ABV] Doesn't exist abreviation for INTERPTE
[NEW ABV] Doesn't exist abreviation for INVEST.(A/S)
[NEW ABV] Doesn't exist abreviation for JUST.ROG.
[NEW ABV] Doesn't exist abreviation for LIT.ATIV.
[NEW ABV] Doesn't exist abreviation for LIT.ATIVA
[NEW ABV] Doesn't exist abreviation for LIT.ATIV.(A/S)
[NEW ABV] Doesn't exist abreviation for LIT.ATIVS
[NEW ABV] Doesn't exist abreviation for LITISC.(S)
[NEW ABV] Doesn't exist abreviation for LITISDEN.
[NEW ABV] Doesn't exist abreviation for LITISDEN.(A/S)
[NEW ABV] Doesn't exist abreviation for LITISDENS
[NEW ABV] Doesn't exist abreviation for LIT.NEC.(S)
[NEW ABV] Doesn't exist abreviation for LIT.PAS.
[NEW ABV] Doesn't exist abreviation for LIT.PAS.(A/S)
[NEW ABV] Doesn't exist abreviation for OPOENTE
[NEW ABV] Doesn't exist abreviation for OPOSTO
[NEW ABV] Doesn't exist abreviation for PARTE PAS
[NEW ABV] Doesn't exist abreviation for PARTE(S)
[NEW ABV] Doesn't exist abreviation for POLO PAS
[NEW ABV] Doesn't exist abreviation for PROCED.
[NEW ABV] Doesn't exist abreviation for PROPTE.(S)
[NEW ABV] Doesn't exist abreviation for PTE.(S)
[NEW ABV] Doesn't exist abreviation for QDA.
[NEW ABV] Doesn't exist abreviation for QDO.
[NEW ABV] Doesn't exist abreviation for QDO.(A/S)
[NEW ABV] Doesn't exist abreviation for QTE.
[NEW ABV] Doesn't exist abreviation for QTE.(S)
[NEW ABV] Doesn't exist abreviation for RÉ
[NEW ABV] Doesn't exist abreviation for REDATORA PARA O ACÓRDÃO
[NEW ABV] Doesn't exist abreviation for REDATOR PARA O ACÓRDÃO
[NEW ABV] Doesn't exist abreviation for RELATOR
[NEW ABV] Doesn't exist abreviation for REMETENTE
[NEW ABV] Doesn't exist abreviation for REMETENTE(S)
[NEW ABV] Doesn't exist abreviation for REPDO.
[NEW ABV] Doesn't exist abreviation for REPDO.(S)
[NEW ABV] Doesn't exist abreviation for REPTE.
[NEW ABV] Doesn't exist abreviation for REPTE.(S)
[NEW ABV] Doesn't exist abreviation for REPTES.
[NEW ABV] Doesn't exist abreviation for REQDA.
[NEW ABV] Doesn't exist abreviation for REQDAS.
[NEW ABV] Doesn't exist abreviation for REQDO.
[NEW ABV] Doesn't exist abreviation for REQDO.(A/S)
[NEW ABV] Doesn't exist abreviation for REQDOS.
[NEW ABV] Doesn't exist abreviation for RÉS
[NEW ABV] Doesn't exist abreviation for REU
[NEW ABV] Doesn't exist abreviation for REU(É)(S)
[NEW ABV] Doesn't exist abreviation for RÉU(É)(S)
[NEW ABV] Doesn't exist abreviation for RÉUS
[NEW ABV] Doesn't exist abreviation for REVISOR
[NEW ABV] Doesn't exist abreviation for REVISORA
[NEW ABV] Doesn't exist abreviation for SOS Nº 765.920-5/6-00
[NEW ABV] Doesn't exist abreviation for SUSDA.
[NEW ABV] Doesn't exist abreviation for SUSDO.
[NEW ABV] Doesn't exist abreviation for SUSDO.(A/S)
[NEW ABV] Doesn't exist abreviation for SUSTE.
[NEW ABV] Doesn't exist abreviation for SUSTE.(S)
[NEW ABV] Doesn't exist abreviation for SUSTES.
[NEW ABV] Doesn't exist abreviation for VIT.
[NEW ABV] Doesn't exist abreviation for VIT.(S)
[NEW ABV] Doesn't exist abreviation for VITS.
